============================================================
 🎯 AUTOMATED PREDICTION ANALYSIS 🎯
============================================================

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 16.7 | Total: 26.5 | Spread (Margin): 17.4
Moneyline Accuracy: 6/10 (60.0%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
New York Knicks @ Los Angeles Lakers | LAL 115.5 - NYK 120.7 | LAL 110 - NYK 97 | ❌
Houston Rockets @ San Antonio Spurs | SAS 128.1 - HOU 113.2 | SAS 145 - HOU 120 | ✅
Chicago Bulls @ Sacramento Kings    | SAC 94.3 - CHI 122.3 | SAC 126 - CHI 110 | ❌
Boston Celtics @ Cleveland Cavaliers | CLE 105.8 - BOS 108.7 | CLE 98 - BOS 109 | ✅
Detroit Pistons @ Miami Heat        | MIA 111.6 - DET 111.6 | MIA 121 - DET 110 | ❌
Orlando Magic @ Milwaukee Bucks     | MIL 96.2 - ORL 125.9 | MIL 91 - ORL 130 | ✅
Dallas Mavericks @ Toronto Raptors  | TOR 122.3 - DAL 115.2 | TOR 122 - DAL 92 | ✅
Charlotte Hornets @ Phoenix Suns    | PHX 79.5 - CHA 114.9 | PHX 111 - CHA 99 | ❌
Washington Wizards @ New Orleans Pelicans | NOP 133.0 - WAS 113.9 | NOP 138 - WAS 118 | ✅
Indiana Pacers @ Portland Trail Blazers | POR 124.4 - IND 120.0 | POR 59 - IND 57 | ✅

Total Props Evaluated: 9
Wins: 7 | Losses: 2 | Win Rate: 77.8%

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 16.7 | Total: 26.5 | Spread: 17.4
Moneyline Accuracy: 6/10 (60.0%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
New York Knicks @ Los Angeles Lakers | LAL 115.5 - NYK 120.7 | LAL 110 - NYK 97 | ❌
Houston Rockets @ San Antonio Spurs | SAS 128.1 - HOU 113.2 | SAS 145 - HOU 120 | ✅
Chicago Bulls @ Sacramento Kings    | SAC 94.3 - CHI 122.3 | SAC 126 - CHI 110 | ❌
Boston Celtics @ Cleveland Cavaliers | CLE 105.8 - BOS 108.7 | CLE 98 - BOS 109 | ✅
Detroit Pistons @ Miami Heat        | MIA 111.6 - DET 111.6 | MIA 121 - DET 110 | ❌
Orlando Magic @ Milwaukee Bucks     | MIL 96.2 - ORL 125.9 | MIL 91 - ORL 130 | ✅
Dallas Mavericks @ Toronto Raptors  | TOR 122.3 - DAL 115.2 | TOR 122 - DAL 92 | ✅
Charlotte Hornets @ Phoenix Suns    | PHX 79.5 - CHA 114.9 | PHX 111 - CHA 99 | ❌
Washington Wizards @ New Orleans Pelicans | NOP 133.0 - WAS 113.9 | NOP 138 - WAS 118 | ✅
Indiana Pacers @ Portland Trail Blazers | POR 124.4 - IND 120.0 | POR 59 - IND 57 | ✅

PLAYER                 | CONF | BET             | ACTUAL   | DIFF    | DIFF %   | STATUS
----------------------------------------------------------------------------------------
Deni Avdija            | 88%  | UNDER 6.5 REB   | 1        | -5.5    | -84.6%   | WON ✅
Alperen Sengun         | 87%  | UNDER 8.5 REB   | 6        | -2.5    | -29.4%   | WON ✅
Devin Booker           | 87%  | UNDER 5.5 ASS   | 10       | +4.5    | +81.8%   | LOST ❌
Donovan Clingan        | 87%  | UNDER 12.5 REB  | 8        | -4.5    | -36.0%   | WON ✅
Russell Westbrook      | 84%  | UNDER 6.5 ASS   | 12       | +5.5    | +84.6%   | LOST ❌
Zion Williamson        | 84%  | UNDER 6.5 REB   | 2        | -4.5    | -69.2%   | WON ✅
Jrue Holiday           | 83%  | UNDER 5.5 REB   | 3        | -2.5    | -45.5%   | WON ✅
Kevin Durant           | 80%  | UNDER 5.5 REB   | 5        | -0.5    | -9.1%    | WON ✅
Trey Murphy III        | 77%  | UNDER 5.5 REB   | 5        | -0.5    | -9.1%    | WON ✅

============================================================
 🎯 MEDIAN PROJECTION ACCURACY (Outliers Filtered IQR) 🎯
============================================================

Total Players Evaluated: 187
MAE (Filtered) - PTS: 4.5 | REB: 1.6 | AST: 1.3
Direction Accuracy (Filtered) - PTS: 112/185 (60.5%) | REB: 140/179 (78.2%) | AST: 160/181 (88.4%)

PLAYER                 |  PRED  ACT    D     R |  PRED  ACT    D     R |  PRED  ACT    D     R
                              --- PTS ---             --- REB ---             --- AST ---     
----------------------------------------------------------------------------------------------------
Malik Monk             |    14   30  -16    LOW |     2    4   -2    LOW |     3    5   -2    LOW
Mikal Bridges          |    15    0  +15   HIGH |     3    6   -3    LOW |     3    5   -2    LOW
Maxime Raynaud         |    13   26  -13    LOW |     9   11   -2    LOW |     1    2   -1    LOW
Daniel Gafford         |     8   21  -13    LOW |     5   11   -6    LOW |     2    3   -1    LOW
Rasheer Fleming        |     3   16  -13    LOW |     3    2   +1   HIGH |     0    0   +0  EXACT
Jerami Grant           |    20    7  +13   HIGH |     3    0   +3   HIGH |     2    1   +1   HIGH
Collin Sexton          |    16   28  -12    LOW |     2    2   +0  EXACT |     2    3   -1    LOW
Pascal Siakam          |    21    9  +12   HIGH |     4    1   +3   HIGH |     3    3   +0  EXACT
Devin Vassell          |    16    5  +11   HIGH |     4    5   -1    LOW |     3    3   +0  EXACT
Immanuel Quickley      |    21   10  +11   HIGH |     3    2   +1   HIGH |     6    8   -2    LOW
Collin Gillespie       |    13   24  -11    LOW |     4    5   -1    LOW |     4    4   +0  EXACT
Devin Booker           |    19   30  -11    LOW |     4    3   +1   HIGH |     3   10   -7    LOW
Toumani Camara         |    14    3  +11   HIGH |     4    4   +0  EXACT |     2    0   +2   HIGH
Andrew Nembhard        |    15    4  +11   HIGH |     3    1   +2   HIGH |     7    4   +3   HIGH
Donovan Mitchell       |    20   30  -10    LOW |     3    7   -4    LOW |     3    5   -2    LOW
Derrick White          |    16    6  +10   HIGH |     3    7   -4    LOW |     5    5   +0  EXACT
RJ Barrett             |    21   31  -10    LOW |     6    6   +0  EXACT |     3    3   +0  EXACT
Brandon Ingram         |    21   11  +10   HIGH |     5    6   -1    LOW |     4    6   -2    LOW
Aaron Nesmith          |    10    0  +10   HIGH |     3    1   +2   HIGH |     2    1   +1   HIGH
Duncan Robinson        |    12    3   +9   HIGH |     3    3   +0  EXACT |     3    2   +1   HIGH
Jalen Green            |    15   24   -9    LOW |     3    4   -1    LOW |     1    2   -1    LOW
Alex Sarr              |    16    7   +9   HIGH |     6    4   +2   HIGH |     2    1   +1   HIGH
Deni Avdija            |    17    8   +9   HIGH |     4    1   +3   HIGH |     5    6   -1    LOW
Jrue Holiday           |    19   10   +9   HIGH |     4    3   +1   HIGH |     6    1   +5   HIGH
Karl-Anthony Towns     |    17   25   -8    LOW |    10   16   -6    LOW |     2    2   +0  EXACT
Amen Thompson          |    15   23   -8    LOW |     6    7   -1    LOW |     5    6   -1    LOW
Tari Eason             |    10    2   +8   HIGH |     5    6   -1    LOW |     2    2   +0  EXACT
Daeqwon Plowden        |     8   16   -8    LOW |     3    3   +0  EXACT |     1    2   -1    LOW
Russell Westbrook      |    15   23   -8    LOW |     4   11   -7    LOW |     4   12   -8    LOW
Jalen Smith            |    12    4   +8   HIGH |     7    3   +4   HIGH |     1    0   +1   HIGH
Evan Mobley            |    16   24   -8    LOW |    10    8   +2   HIGH |     2    1   +1   HIGH
Baylor Scheierman      |     8   16   -8    LOW |     5   10   -5    LOW |     2    0   +2   HIGH
Myles Turner           |    11    3   +8   HIGH |     5    0   +5   HIGH |     1    1   +0  EXACT
Desmond Bane           |    26   18   +8   HIGH |     4    5   -1    LOW |     4    9   -5    LOW
Max Christie           |    10    2   +8   HIGH |     3    3   +0  EXACT |     2    1   +1   HIGH
Brandon Miller         |    19   11   +8   HIGH |     6    9   -3    LOW |     2    3   -1    LOW
Coby White             |    15    7   +8   HIGH |     3    1   +2   HIGH |     4    4   +0  EXACT
Tre Johnson            |    12   20   -8    LOW |     3    4   -1    LOW |     1    1   +0  EXACT
Donovan Clingan        |    13    5   +8   HIGH |     9    8   +1   HIGH |     3    2   +1   HIGH
Jarace Walker          |    15    7   +8   HIGH |     6    1   +5   HIGH |     3    0   +3   HIGH
Quenton Jackson        |    10    2   +8   HIGH |     2    2   +0  EXACT |     3    2   +1   HIGH
Jose Alvarado          |     7    0   +7   HIGH |     2    0   +2   HIGH |     4    1   +3   HIGH
Guerschon Yabusele     |    11    4   +7   HIGH |     6    5   +1   HIGH |     2    3   -1    LOW
Ousmane Dieng          |     9    2   +7   HIGH |     4    4   +0  EXACT |     3    5   -2    LOW
Jett Howard            |     7   14   -7    LOW |     2    2   +0  EXACT |     1    2   -1    LOW
