============================================================
 🎯 AUTOMATED PREDICTION ANALYSIS 🎯
============================================================

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 13.6 | Total: 24.9 | Spread (Margin): 11.3
Moneyline Accuracy: 7/11 (63.6%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Chicago Bulls @ San Francisco Warriors | GSW 107.5 - CHI 99.2 | GSW 124 - CHI 130 | ❌
Minnesota Timberwolves @ Los Angeles Lakers | LAL 117.7 - MIN 123.2 | LAL 120 - MIN 106 | ❌
Boston Celtics @ San Antonio Spurs  | SAS 121.4 - BOS 106.6 | SAS 125 - BOS 116 | ✅
Phoenix Suns @ Milwaukee Bucks      | MIL 102.6 - PHX 108.9 | MIL 114 - PHX 129 | ✅
Toronto Raptors @ Houston Rockets   | HOU 112.0 - TOR 114.8 | HOU 113 - TOR 99 | ❌
Washington Wizards @ Miami Heat     | MIA 115.2 - WAS 95.0 | MIA 150 - WAS 129 | ✅
Memphis Grizzlies @ Philadelphia 76ers | PHI 112.5 - MEM 120.9 | PHI 139 - MEM 129 | ❌
Dallas Mavericks @ Atlanta Hawks    | ATL 125.2 - DAL 118.5 | ATL 124 - DAL 112 | ✅
Charlotte Hornets @ Portland Trail Blazers | POR 113.2 - CHA 120.1 | POR 101 - CHA 103 | ✅
Detroit Pistons @ Brooklyn Nets     | BKN 107.2 - DET 122.9 | BKN 100 - DET 138 | ✅
Indiana Pacers @ Sacramento Kings   | SAC 115.7 - IND 102.7 | SAC 114 - IND 109 | ✅

Total Props Evaluated: 1
Wins: 1 | Losses: 0 | Win Rate: 100.0%

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 13.6 | Total: 24.9 | Spread: 11.3
Moneyline Accuracy: 7/11 (63.6%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Chicago Bulls @ San Francisco Warriors | GSW 107.5 - CHI 99.2 | GSW 124 - CHI 130 | ❌
Minnesota Timberwolves @ Los Angeles Lakers | LAL 117.7 - MIN 123.2 | LAL 120 - MIN 106 | ❌
Boston Celtics @ San Antonio Spurs  | SAS 121.4 - BOS 106.6 | SAS 125 - BOS 116 | ✅
Phoenix Suns @ Milwaukee Bucks      | MIL 102.6 - PHX 108.9 | MIL 114 - PHX 129 | ✅
Toronto Raptors @ Houston Rockets   | HOU 112.0 - TOR 114.8 | HOU 113 - TOR 99 | ❌
Washington Wizards @ Miami Heat     | MIA 115.2 - WAS 95.0 | MIA 150 - WAS 129 | ✅
Memphis Grizzlies @ Philadelphia 76ers | PHI 112.5 - MEM 120.9 | PHI 139 - MEM 129 | ❌
Dallas Mavericks @ Atlanta Hawks    | ATL 125.2 - DAL 118.5 | ATL 124 - DAL 112 | ✅
Charlotte Hornets @ Portland Trail Blazers | POR 113.2 - CHA 120.1 | POR 101 - CHA 103 | ✅
Detroit Pistons @ Brooklyn Nets     | BKN 107.2 - DET 122.9 | BKN 100 - DET 138 | ✅
Indiana Pacers @ Sacramento Kings   | SAC 115.7 - IND 102.7 | SAC 114 - IND 109 | ✅

PLAYER                 | CONF | BET             | ACTUAL   | DIFF    | DIFF %   | STATUS
----------------------------------------------------------------------------------------
Anthony Edwards        | 84%  | UNDER 5.5 REB   | 2        | -3.5    | -63.6%   | WON ✅

============================================================
 🎯 MEDIAN PROJECTION ACCURACY (Outliers Filtered IQR) 🎯
============================================================

Total Players Evaluated: 205
MAE (Filtered) - PTS: 4.7 | REB: 1.5 | AST: 1.1
Direction Accuracy (Filtered) - PTS: 109/201 (54.2%) | REB: 155/189 (82.0%) | AST: 180/199 (90.5%)

PLAYER                 |  PRED  ACT    D     R |  PRED  ACT    D     R |  PRED  ACT    D     R
                              --- PTS ---             --- REB ---             --- AST ---     
----------------------------------------------------------------------------------------------------
Bam Adebayo            |    36   83  -47    LOW |    12    9   +3   HIGH |     2    3   -1    LOW
Cameron Payne          |     9   32  -23    LOW |     1    3   -2    LOW |     4   10   -6    LOW
Matas Buzelis          |    21   41  -20    LOW |     6    6   +0  EXACT |     2    2   +0  EXACT
Ron Harper Jr.         |     4   22  -18    LOW |     2    3   -1    LOW |     1    2   -1    LOW
Kyle Kuzma             |    16   33  -17    LOW |     5    3   +2   HIGH |     3    3   +0  EXACT
Aaron Nesmith          |    13   29  -16    LOW |     4    4   +0  EXACT |     2    3   -1    LOW
Derrick White          |    19   34  -15    LOW |     3    5   -2    LOW |     6    7   -1    LOW
Devin Carter           |     9   24  -15    LOW |     4    5   -1    LOW |     3    3   +0  EXACT
Victor Wembanyama      |    25   39  -14    LOW |    11   11   +0  EXACT |     3    3   +0  EXACT
Alex Sarr              |    14   28  -14    LOW |     8    6   +2   HIGH |     2    1   +1   HIGH
Anthony Edwards        |    27   14  +13   HIGH |     3    2   +1   HIGH |     3    4   -1    LOW
Royce O'Neale          |     8   21  -13    LOW |     5    5   +0  EXACT |     2    4   -2    LOW
Jaime Jaquez Jr.       |    18    5  +13   HIGH |     7    6   +1   HIGH |     4    8   -4    LOW
Jrue Holiday           |    17    4  +13   HIGH |     3    1   +2   HIGH |     5    5   +0  EXACT
Jaylen Brown           |    20    8  +12   HIGH |     5    2   +3   HIGH |     5    7   -2    LOW
Myles Turner           |    10   22  -12    LOW |     6    9   -3    LOW |     1    3   -2    LOW
Tobias Harris          |    14    2  +12   HIGH |     6    2   +4   HIGH |     2    3   -1    LOW
LJ Cryer               |     6   17  -11    LOW |     2    1   +1   HIGH |     1    2   -1    LOW
Leonard Miller         |     6   17  -11    LOW |     4   11   -7    LOW |     0    1   -1    LOW
Julian Champagnie      |    11    0  +11   HIGH |     5    5   +0  EXACT |     2    0   +2   HIGH
Brandon Ingram         |    20    9  +11   HIGH |     6    4   +2   HIGH |     4    3   +1   HIGH
Immanuel Quickley      |    22   12  +10   HIGH |     4    4   +0  EXACT |     6    6   +0  EXACT
Will Riley             |    12   22  -10    LOW |     4    4   +0  EXACT |     2    2   +0  EXACT
Klay Thompson          |    11   21  -10    LOW |     2    1   +1   HIGH |     1    1   +0  EXACT
Nic Claxton            |    12    2  +10   HIGH |     8    4   +4   HIGH |     3    4   -1    LOW
Nolan Traore           |    12    2  +10   HIGH |     2    2   +0  EXACT |     5    2   +3   HIGH
Guerschon Yabusele     |    11    2   +9   HIGH |     6    5   +1   HIGH |     2    1   +1   HIGH
Terrence Shannon Jr.   |     3   12   -9    LOW |     0    0   +0  EXACT |     1    1   +0  EXACT
De'Aaron Fox           |    16   25   -9    LOW |     3    3   +0  EXACT |     6    9   -3    LOW
Jalen Green            |    16   25   -9    LOW |     3    4   -1    LOW |     2    5   -3    LOW
Grayson Allen          |    21   12   +9   HIGH |     3    3   +0  EXACT |     4    3   +1   HIGH
Reed Sheppard          |    16    7   +9   HIGH |     3    7   -4    LOW |     4    2   +2   HIGH
Scottie Barnes         |    15   24   -9    LOW |     6    5   +1   HIGH |     4    2   +2   HIGH
Nickeil Alexander-Walker |    20   29   -9    LOW |     3    2   +1   HIGH |     4    3   +1   HIGH
Jock Landale           |     9    0   +9   HIGH |     4    3   +1   HIGH |     1    1   +0  EXACT
Corey Kispert          |    11    2   +9   HIGH |     2    0   +2   HIGH |     2    0   +2   HIGH
LaMelo Ball            |    23   14   +9   HIGH |     4    4   +0  EXACT |     6    4   +2   HIGH
Marcus Sasser          |     5   14   -9    LOW |     1    3   -2    LOW |     2    1   +1   HIGH
Malik Monk             |    13    4   +9   HIGH |     2    0   +2   HIGH |     3    0   +3   HIGH
