============================================================
 🎯 AUTOMATED PREDICTION ANALYSIS 🎯
============================================================

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 11.7 | Total: 20.2 | Spread (Margin): 14.8
Moneyline Accuracy: 5/6 (83.3%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Charlotte Hornets @ Sacramento Kings | SAC 90.1 - CHA 122.6 | SAC 109 - CHA 117 | ✅
Cleveland Cavaliers @ Orlando Magic | ORL 121.9 - CLE 114.0 | ORL 128 - CLE 122 | ✅
New York Knicks @ Utah Jazz         | UTA 109.6 - NYK 127.6 | UTA 117 - NYK 134 | ✅
Toronto Raptors @ New Orleans Pelicans | NOP 118.4 - TOR 125.5 | NOP 122 - TOR 111 | ❌
Minnesota Timberwolves @ Los Angeles Clippers | LAC 124.3 - MIN 117.0 | LAC 153 - MIN 128 | ✅
Houston Rockets @ Denver Nuggets    | DEN 131.2 - HOU 120.5 | DEN 129 - HOU 93 | ✅

Total Props Evaluated: 8
Wins: 6 | Losses: 2 | Win Rate: 75.0%

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 11.7 | Total: 20.2 | Spread: 14.8
Moneyline Accuracy: 5/6 (83.3%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Charlotte Hornets @ Sacramento Kings | SAC 90.1 - CHA 122.6 | SAC 109 - CHA 117 | ✅
Cleveland Cavaliers @ Orlando Magic | ORL 121.9 - CLE 114.0 | ORL 128 - CLE 122 | ✅
New York Knicks @ Utah Jazz         | UTA 109.6 - NYK 127.6 | UTA 117 - NYK 134 | ✅
Toronto Raptors @ New Orleans Pelicans | NOP 118.4 - TOR 125.5 | NOP 122 - TOR 111 | ❌
Minnesota Timberwolves @ Los Angeles Clippers | LAC 124.3 - MIN 117.0 | LAC 153 - MIN 128 | ✅
Houston Rockets @ Denver Nuggets    | DEN 131.2 - HOU 120.5 | DEN 129 - HOU 93 | ✅

PLAYER                 | CONF | BET             | ACTUAL   | DIFF    | DIFF %   | STATUS
----------------------------------------------------------------------------------------
Anthony Edwards        | 90%  | UNDER 5.5 REB   | 2        | -3.5    | -63.6%   | WON ✅
Alperen Sengun         | 90%  | UNDER 8.5 REB   | 2        | -6.5    | -76.5%   | WON ✅
Zion Williamson        | 82%  | UNDER 5.5 REB   | 6        | +0.5    | +9.1%    | LOST ❌
Jakob Poeltl           | 81%  | UNDER 8.5 REB   | 5        | -3.5    | -41.2%   | WON ✅
Maxime Raynaud         | 78%  | OVER 8.5 REB    | 6        | -2.5    | -29.4%   | LOST ❌
Saddiq Bey             | 77%  | UNDER 5.5 REB   | 4        | -1.5    | -27.3%   | WON ✅
Scottie Barnes         | 76%  | UNDER 6.5 REB   | 6        | -0.5    | -7.7%    | WON ✅
Amen Thompson          | 76%  | UNDER 7.5 REB   | 5        | -2.5    | -33.3%   | WON ✅

============================================================
 🎯 MEDIAN PROJECTION ACCURACY (Outliers Filtered IQR) 🎯
============================================================

Total Players Evaluated: 110
MAE (Filtered) - PTS: 4.3 | REB: 1.3 | AST: 1.2
Direction Accuracy (Filtered) - PTS: 62/106 (58.5%) | REB: 91/106 (85.8%) | AST: 99/110 (90.0%)

PLAYER                 |  PRED  ACT    D     R |  PRED  ACT    D     R |  PRED  ACT    D     R
                              --- PTS ---             --- REB ---             --- AST ---     
----------------------------------------------------------------------------------------------------
DeMar DeRozan          |    19   39  -20    LOW |     3    4   -1    LOW |     4    6   -2    LOW
Jordan Clarkson        |     9   27  -18    LOW |     2    5   -3    LOW |     1    3   -2    LOW
Kawhi Leonard          |    29   45  -16    LOW |     6    5   +1   HIGH |     3    5   -2    LOW
Aaron Gordon           |    15    0  +15   HIGH |     4    4   +0  EXACT |     3    1   +2   HIGH
Keon Ellis             |     7   20  -13    LOW |     3    4   -1    LOW |     1    1   +0  EXACT
Brice Sensabaugh       |    16   29  -13    LOW |     3    5   -2    LOW |     2    5   -3    LOW
Kevin Durant           |    24   11  +13   HIGH |     4    4   +0  EXACT |     5    5   +0  EXACT
Maxime Raynaud         |    15    4  +11   HIGH |    11    6   +5   HIGH |     2    2   +0  EXACT
Tristan da Silva       |    12   23  -11    LOW |     5    4   +1   HIGH |     2    3   -1    LOW
James Harden           |    19   30  -11    LOW |     5    5   +0  EXACT |     7    8   -1    LOW
Mikal Bridges          |    16    5  +11   HIGH |     4    5   -1    LOW |     4    2   +2   HIGH
Miles Bridges          |    16   26  -10    LOW |     6    2   +4   HIGH |     3    5   -2    LOW
Dejounte Murray        |    17   27  -10    LOW |     4    5   -1    LOW |     5    6   -1    LOW
Saddiq Bey             |    19    9  +10   HIGH |     4    4   +0  EXACT |     2    4   -2    LOW
Moritz Wagner          |    10    1   +9   HIGH |     4    5   -1    LOW |     1    1   +0  EXACT
Keyonte George         |    23   14   +9   HIGH |     2    2   +0  EXACT |     3    5   -2    LOW
Coby White             |    17    9   +8   HIGH |     3    2   +1   HIGH |     4    1   +3   HIGH
Desmond Bane           |    27   35   -8    LOW |     4    6   -2    LOW |     4    6   -2    LOW
Herbert Jones          |     8   16   -8    LOW |     3    2   +1   HIGH |     3    1   +2   HIGH
Ja'Kobe Walter         |     8    0   +8   HIGH |     3    1   +2   HIGH |     2    1   +1   HIGH
Brook Lopez            |    11    3   +8   HIGH |     4    3   +1   HIGH |     1    0   +1   HIGH
Anthony Edwards        |    28   36   -8    LOW |     3    2   +1   HIGH |     3    5   -2    LOW
Jaylen Clark           |     3   11   -8    LOW |     1    0   +1   HIGH |     0    1   -1    LOW
LaMelo Ball            |    23   30   -7    LOW |     5    6   -1    LOW |     6    5   +1   HIGH
Jaylon Tyson           |    11    4   +7   HIGH |     4    1   +3   HIGH |     1    2   -1    LOW
Ace Bailey             |    14   21   -7    LOW |     4    4   +0  EXACT |     1    2   -1    LOW
Scottie Barnes         |    16    9   +7   HIGH |     5    6   -1    LOW |     4    4   +0  EXACT
Julius Randle          |    18   11   +7   HIGH |     6    6   +0  EXACT |     5    4   +1   HIGH
Jamal Murray           |    23   30   -7    LOW |     3    2   +1   HIGH |     5    4   +1   HIGH
Christian Braun        |    12   19   -7    LOW |     4    4   +0  EXACT |     3    3   +0  EXACT
Jabari Smith Jr.       |    18   11   +7   HIGH |     5    7   -2    LOW |     2    2   +0  EXACT
Reed Sheppard          |    16    9   +7   HIGH |     3    2   +1   HIGH |     4    2   +2   HIGH
Alperen Sengun         |    17   10   +7   HIGH |     5    2   +3   HIGH |     6    3   +3   HIGH
Josh Okogie            |     5   12   -7    LOW |     2    4   -2    LOW |     0    3   -3    LOW
Isaiah Collier         |    15    9   +6   HIGH |     2    2   +0  EXACT |     6    5   +1   HIGH
