============================================================
 🎯 AUTOMATED PREDICTION ANALYSIS 🎯
============================================================

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 10.5 | Total: 19.5 | Spread (Margin): 13.1
Moneyline Accuracy: 8/9 (88.9%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Phoenix Suns @ Indiana Pacers       | IND 105.9 - PHX 111.4 | IND 108 - PHX 123 | ✅
Chicago Bulls @ Los Angeles Lakers  | LAL 127.9 - CHI 110.0 | LAL 142 - CHI 130 | ✅
Dallas Mavericks @ Memphis Grizzlies | MEM 119.2 - DAL 122.2 | MEM 112 - DAL 120 | ✅
Philadelphia 76ers @ Detroit Pistons | DET 122.1 - PHI 86.7 | DET 131 - PHI 109 | ✅
Milwaukee Bucks @ Miami Heat        | MIA 124.2 - MIL 109.6 | MIA 112 - MIL 105 | ✅
Boston Celtics @ Oklahoma City Thunder | OKC 113.7 - BOS 103.4 | OKC 104 - BOS 102 | ✅
Brooklyn Nets @ Atlanta Hawks       | ATL 128.2 - BKN 98.6 | ATL 108 - BKN 97 | ✅
Washington Wizards @ Orlando Magic  | ORL 135.8 - WAS 97.0 | ORL 136 - WAS 131 | ✅
Denver Nuggets @ San Antonio Spurs  | SAS 137.5 - DEN 126.4 | SAS 131 - DEN 136 | ❌

Total Props Evaluated: 9
Wins: 4 | Losses: 5 | Win Rate: 44.4%

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 10.5 | Total: 19.5 | Spread: 13.1
Moneyline Accuracy: 8/9 (88.9%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Phoenix Suns @ Indiana Pacers       | IND 105.9 - PHX 111.4 | IND 108 - PHX 123 | ✅
Chicago Bulls @ Los Angeles Lakers  | LAL 127.9 - CHI 110.0 | LAL 142 - CHI 130 | ✅
Dallas Mavericks @ Memphis Grizzlies | MEM 119.2 - DAL 122.2 | MEM 112 - DAL 120 | ✅
Philadelphia 76ers @ Detroit Pistons | DET 122.1 - PHI 86.7 | DET 131 - PHI 109 | ✅
Milwaukee Bucks @ Miami Heat        | MIA 124.2 - MIL 109.6 | MIA 112 - MIL 105 | ✅
Boston Celtics @ Oklahoma City Thunder | OKC 113.7 - BOS 103.4 | OKC 104 - BOS 102 | ✅
Brooklyn Nets @ Atlanta Hawks       | ATL 128.2 - BKN 98.6 | ATL 108 - BKN 97 | ✅
Washington Wizards @ Orlando Magic  | ORL 135.8 - WAS 97.0 | ORL 136 - WAS 131 | ✅
Denver Nuggets @ San Antonio Spurs  | SAS 137.5 - DEN 126.4 | SAS 131 - DEN 136 | ❌

PLAYER                 | CONF | BET             | ACTUAL   | DIFF    | DIFF %   | STATUS
----------------------------------------------------------------------------------------
DET SPREAD             | 100% | COVER -15.5 SPR | 22       | +6.5    | +0.0%    | WON ✅
ORL SPREAD             | 100% | COVER -14.5 SPR | 5        | -9.5    | +0.0%    | LOST ❌
ATL SPREAD             | 99%  | COVER -15.5 SPR | 11       | -4.5    | +0.0%    | LOST ❌
LAL SPREAD             | 95%  | COVER -11.5 SPR | 12       | +0.5    | +0.0%    | WON ✅
GAME TOTAL             | 91%  | OVER 239.5 TOT  | 267      | +27.5   | +11.5%   | WON ✅
MIA SPREAD             | 89%  | COVER -6.5 SPR  | 7        | +0.5    | +0.0%    | WON ✅
OKC SPREAD             | 84%  | COVER -7.5 SPR  | 2        | -5.5    | +0.0%    | LOST ❌
GAME TOTAL             | 79%  | UNDER 222.5 TOT | 240      | +17.5   | +7.9%    | LOST ❌
SAS SPREAD             | 79%  | COVER -4.5 SPR  | -5       | -9.5    | +0.0%    | LOST ❌

============================================================
 🎯 MEDIAN PROJECTION ACCURACY (Outliers Filtered IQR) 🎯
============================================================

Total Players Evaluated: 145
MAE (Filtered) - PTS: 5.5 | REB: 1.8 | AST: 1.2
Direction Accuracy (Filtered) - PTS: 71/141 (50.4%) | REB: 110/143 (76.9%) | AST: 126/140 (90.0%)

PLAYER                 |  PRED  ACT    D     R |  PRED  ACT    D     R |  PRED  ACT    D     R
                              --- PTS ---             --- REB ---             --- AST ---     
----------------------------------------------------------------------------------------------------
Devin Booker           |    19   43  -24    LOW |     4    7   -3    LOW |     4    5   -1    LOW
Khris Middleton        |    11   35  -24    LOW |     3    2   +1   HIGH |     3    1   +2   HIGH
Jalen Green            |    16   36  -20    LOW |     4    3   +1   HIGH |     2    4   -2    LOW
Bilal Coulibaly        |    10   29  -19    LOW |     4    5   -1    LOW |     2    5   -3    LOW
Josh Giddey            |    11   27  -16    LOW |     5    8   -3    LOW |     7   15   -8    LOW
Pelle Larsson          |    12   28  -16    LOW |     4    6   -2    LOW |     4    6   -2    LOW
Jalen Suggs            |    12   28  -16    LOW |     3    4   -1    LOW |     7    8   -1    LOW
Jamal Murray           |    23   39  -16    LOW |     3    2   +1   HIGH |     5    7   -2    LOW
Spencer Jones          |     3   19  -16    LOW |     3    4   -1    LOW |     1    2   -1    LOW
Deandre Ayton          |     9   23  -14    LOW |     7   10   -3    LOW |     1    1   +0  EXACT
Stephon Castle         |    16   30  -14    LOW |     4   11   -7    LOW |     7   10   -3    LOW
Austin Reaves          |    17   30  -13    LOW |     4    5   -1    LOW |     5    7   -2    LOW
Daniel Gafford         |     9   22  -13    LOW |     6   14   -8    LOW |     1    1   +0  EXACT
Tristan da Silva       |    13   26  -13    LOW |     5    7   -2    LOW |     3    2   +1   HIGH
Jaylen Brown           |    22   34  -12    LOW |     6    6   +0  EXACT |     4    7   -3    LOW
Tim Hardaway Jr.       |    13    1  +12   HIGH |     2    2   +0  EXACT |     1    1   +0  EXACT
Jake LaRavia           |    11    0  +11   HIGH |     4    3   +1   HIGH |     2    3   -1    LOW
Cade Cunningham        |    19    8  +11   HIGH |     5    5   +0  EXACT |    11   13   -2    LOW
MarJon Beauchamp       |     6   17  -11    LOW |     3    6   -3    LOW |     1    2   -1    LOW
Giannis Antetokounmpo  |    20   31  -11    LOW |     9    6   +3   HIGH |     4    3   +1   HIGH
Isaiah Joe             |    13    2  +11   HIGH |     3    1   +2   HIGH |     1    0   +1   HIGH
Harrison Barnes        |     9   20  -11    LOW |     2    7   -5    LOW |     2    1   +1   HIGH
Collin Gillespie       |    14    4  +10   HIGH |     5    7   -2    LOW |     4    5   -1    LOW
Naji Marshall          |    15    5  +10   HIGH |     4    6   -2    LOW |     4    3   +1   HIGH
Bam Adebayo            |    31   21  +10   HIGH |     8    8   +0  EXACT |     3    2   +1   HIGH
Zaccharie Risacher     |     9   19  -10    LOW |     5    9   -4    LOW |     1    1   +0  EXACT
Goga Bitadze           |    10    0  +10   HIGH |     5    2   +3   HIGH |     1    0   +1   HIGH
De'Aaron Fox           |    17   27  -10    LOW |     2    3   -1    LOW |     6    9   -3    LOW
Cooper Flagg           |    22   13   +9   HIGH |     6    6   +0  EXACT |     4    7   -3    LOW
Jaime Jaquez Jr.       |    15    6   +9   HIGH |     5    4   +1   HIGH |     5    7   -2    LOW
Kyle Kuzma             |    14    5   +9   HIGH |     4    3   +1   HIGH |     3    1   +2   HIGH
Shai Gilgeous-Alexander |    26   35   -9    LOW |     4    6   -2    LOW |     5    9   -4    LOW
Jonathan Kuminga       |    11    2   +9   HIGH |     5    9   -4    LOW |     2    2   +0  EXACT
Keldon Johnson         |    14    5   +9   HIGH |     4    7   -3    LOW |     1    3   -2    LOW
Andrew Nembhard        |    15   23   -8    LOW |     3    0   +3   HIGH |     6    2   +4   HIGH
Matas Buzelis          |    14   22   -8    LOW |     4    6   -2    LOW |     2    1   +1   HIGH
Jaylen Wells           |    15   23   -8    LOW |     3    2   +1   HIGH |     1    2   -1    LOW
Bobby Portis           |    11   19   -8    LOW |     5    5   +0  EXACT |     1    1   +0  EXACT
Ajay Mitchell          |     7   15   -8    LOW |     2    4   -2    LOW |     2    6   -4    LOW
Jock Landale           |    12    4   +8   HIGH |     5    2   +3   HIGH |     1    0   +1   HIGH
Ethan Thompson         |     4   11   -7    LOW |     2    2   +0  EXACT |     1    2   -1    LOW
Royce O'Neale          |     8   15   -7    LOW |     5    3   +2   HIGH |     2    1   +1   HIGH
Luke Kennard           |    10    3   +7   HIGH |     2    1   +1   HIGH |     2    2   +0  EXACT
