============================================================
 🎯 AUTOMATED PREDICTION ANALYSIS 🎯
============================================================

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 9.0 | Total: 15.6 | Spread (Margin): 12.5
Moneyline Accuracy: 8/8 (100.0%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Miami Heat @ Charlotte Hornets      | CHA 114.8 - MIA 111.6 | CHA 136 - MIA 106 | ✅
Detroit Pistons @ Washington Wizards | WAS 88.7 - DET 125.7 | WAS 117 - DET 130 | ✅
Oklahoma City Thunder @ Orlando Magic | ORL 115.3 - OKC 118.4 | ORL 108 - OKC 113 | ✅
Phoenix Suns @ Minnesota Timberwolves | MIN 109.2 - PHX 106.6 | MIN 116 - PHX 104 | ✅
Cleveland Cavaliers @ Milwaukee Bucks | MIL 105.2 - CLE 121.2 | MIL 116 - CLE 123 | ✅
Indiana Pacers @ New York Knicks    | NYK 115.0 - IND 109.6 | NYK 136 - IND 110 | ✅
Philadelphia 76ers @ Denver Nuggets | DEN 133.9 - PHI 108.3 | DEN 124 - PHI 96 | ✅
San Antonio Spurs @ Sacramento Kings | SAC 108.5 - SAS 130.7 | SAC 104 - SAS 132 | ✅

Total Props Evaluated: 12
Wins: 7 | Losses: 5 | Win Rate: 58.3%

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 9.0 | Total: 15.6 | Spread: 12.5
Moneyline Accuracy: 8/8 (100.0%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Miami Heat @ Charlotte Hornets      | CHA 114.8 - MIA 111.6 | CHA 136 - MIA 106 | ✅
Detroit Pistons @ Washington Wizards | WAS 88.7 - DET 125.7 | WAS 117 - DET 130 | ✅
Oklahoma City Thunder @ Orlando Magic | ORL 115.3 - OKC 118.4 | ORL 108 - OKC 113 | ✅
Phoenix Suns @ Minnesota Timberwolves | MIN 109.2 - PHX 106.6 | MIN 116 - PHX 104 | ✅
Cleveland Cavaliers @ Milwaukee Bucks | MIL 105.2 - CLE 121.2 | MIL 116 - CLE 123 | ✅
Indiana Pacers @ New York Knicks    | NYK 115.0 - IND 109.6 | NYK 136 - IND 110 | ✅
Philadelphia 76ers @ Denver Nuggets | DEN 133.9 - PHI 108.3 | DEN 124 - PHI 96 | ✅
San Antonio Spurs @ Sacramento Kings | SAC 108.5 - SAS 130.7 | SAC 104 - SAS 132 | ✅

PLAYER                 | CONF | BET             | ACTUAL   | DIFF    | DIFF %   | STATUS
----------------------------------------------------------------------------------------
DEN SPREAD             | 99%  | COVER -15.5 SPR | 28       | +12.5   | +0.0%    | WON ✅
LaMelo Ball            | 91%  | UNDER 7.5 ASS   | 13       | +5.5    | +73.3%   | LOST ❌
Victor Wembanyama      | 90%  | UNDER 11.5 REB  | 8        | -3.5    | -30.4%   | WON ✅
Shai Gilgeous-Alexander | 88%  | UNDER 31.5 POI  | 40       | +8.5    | +27.0%   | LOST ❌
Russell Westbrook      | 88%  | UNDER 5.5 REB   | 1        | -4.5    | -81.8%   | WON ✅
GAME TOTAL             | 87%  | UNDER 233.5 TOT | 247      | +13.5   | +5.8%    | LOST ❌
DeMar DeRozan          | 87%  | UNDER 20.5 POI  | 2        | -18.5   | -90.2%   | WON ✅
NYK SPREAD             | 86%  | COVER -13.5 SPR | 26       | +12.5   | +0.0%    | WON ✅
DET SPREAD             | 85%  | COVER -19.5 SPR | 13       | -6.5    | +0.0%    | LOST ❌
Maxime Raynaud         | 84%  | UNDER 9.5 REB   | 9        | -0.5    | -5.3%    | WON ✅
Paolo Banchero         | 83%  | UNDER 8.5 REB   | 10       | +1.5    | +17.6%   | LOST ❌
Jalen Duren            | 82%  | UNDER 11.5 REB  | 11       | -0.5    | -4.3%    | WON ✅

============================================================
 🎯 MEDIAN PROJECTION ACCURACY (Outliers Filtered IQR) 🎯
============================================================

Total Players Evaluated: 133
MAE (Filtered) - PTS: 5.1 | REB: 1.9 | AST: 1.2
Direction Accuracy (Filtered) - PTS: 66/131 (50.4%) | REB: 90/133 (67.7%) | AST: 109/129 (84.5%)

PLAYER                 |  PRED  ACT    D     R |  PRED  ACT    D     R |  PRED  ACT    D     R
                              --- PTS ---             --- REB ---             --- AST ---     
----------------------------------------------------------------------------------------------------
Bub Carrington         |     7   30  -23    LOW |     5    4   +1   HIGH |     4    2   +2   HIGH
Josh Hart              |    12   33  -21    LOW |     7    7   +0  EXACT |     6    5   +1   HIGH
Jalen Duren            |    18   36  -18    LOW |     9   11   -2    LOW |     1    2   -1    LOW
Maxime Raynaud         |    14   32  -18    LOW |     7    9   -2    LOW |     1    3   -2    LOW
Shai Gilgeous-Alexander |    23   40  -17    LOW |     3    5   -2    LOW |     5    2   +3   HIGH
Stephon Castle         |    17    3  +14   HIGH |     4    1   +3   HIGH |     8   12   -4    LOW
Julius Randle          |    19   32  -13    LOW |     7    7   +0  EXACT |     4    2   +2   HIGH
Devin Booker           |    21   34  -13    LOW |     4    6   -2    LOW |     3    3   +0  EXACT
Cade Cunningham        |    18    6  +12   HIGH |     5    2   +3   HIGH |    11    0  +11   HIGH
Bones Hyland           |    10   22  -12    LOW |     1    2   -1    LOW |     3    5   -2    LOW
Landry Shamet          |    14    2  +12   HIGH |     2    1   +1   HIGH |     2    1   +1   HIGH
DeMar DeRozan          |    14    2  +12   HIGH |     2    1   +1   HIGH |     3    1   +2   HIGH
LaMelo Ball            |    19   30  -11    LOW |     4    6   -2    LOW |     4   13   -9    LOW
Paolo Banchero         |    21   32  -11    LOW |     6   10   -4    LOW |     4    5   -1    LOW
Donte DiVincenzo       |    11    0  +11   HIGH |     4    1   +3   HIGH |     4    3   +1   HIGH
Oso Ighodaro           |     5   16  -11    LOW |     6   10   -4    LOW |     3    4   -1    LOW
Kevin Porter Jr.       |    14   25  -11    LOW |     5    3   +2   HIGH |     6   10   -4    LOW
Jalen Green            |    19    9  +10   HIGH |     4    1   +3   HIGH |     2    5   -3    LOW
James Harden           |    17   27  -10    LOW |     5    5   +0  EXACT |     8    6   +2   HIGH
Evan Mobley            |    17   27  -10    LOW |     8   15   -7    LOW |     2    2   +0  EXACT
Coby White             |    15   24   -9    LOW |     3    3   +0  EXACT |     3    3   +0  EXACT
Will Riley             |    12   21   -9    LOW |     4    3   +1   HIGH |     2    1   +1   HIGH
Javonte Green          |    12    3   +9   HIGH |     4    2   +2   HIGH |     0    0   +0  EXACT
Isaiah Hartenstein     |     9    0   +9   HIGH |     6    7   -1    LOW |     3    8   -5    LOW
Jaylon Tyson           |    11    2   +9   HIGH |     5    0   +5   HIGH |     2    2   +0  EXACT
Jose Alvarado          |     7   16   -9    LOW |     2    2   +0  EXACT |     5   10   -5    LOW
Christian Braun        |    13   22   -9    LOW |     5    5   +0  EXACT |     3    3   +0  EXACT
VJ Edgecombe           |    18    9   +9   HIGH |     5    3   +2   HIGH |     3    4   -1    LOW
Jaime Jaquez Jr.       |    14    6   +8   HIGH |     5    1   +4   HIGH |     4    6   -2    LOW
Chet Holmgren          |    12   20   -8    LOW |     7   12   -5    LOW |     1    1   +0  EXACT
Isaiah Joe             |    13    5   +8   HIGH |     3    4   -1    LOW |     1    0   +1   HIGH
Kyle Kuzma             |    11    3   +8   HIGH |     3    0   +3   HIGH |     2    2   +0  EXACT
OG Anunoby             |    18   26   -8    LOW |     4    8   -4    LOW |     2    4   -2    LOW
Jamal Murray           |    20   12   +8   HIGH |     3    6   -3    LOW |     5    4   +1   HIGH
Russell Westbrook      |    13    5   +8   HIGH |     3    1   +2   HIGH |     6   10   -4    LOW
Justin Champagnie      |    11   18   -7    LOW |     6    9   -3    LOW |     1    2   -1    LOW
Jamir Watkins          |    10    3   +7   HIGH |     5    2   +3   HIGH |     1    4   -3    LOW
Jaden Hardy            |     9   16   -7    LOW |     2    2   +0  EXACT |     1    2   -1    LOW
Duncan Robinson        |    15    8   +7   HIGH |     3    3   +0  EXACT |     3    3   +0  EXACT
Daniss Jenkins         |     8   15   -7    LOW |     2    2   +0  EXACT |     3    7   -4    LOW
Goga Bitadze           |     7    0   +7   HIGH |     4    1   +3   HIGH |     1    1   +0  EXACT
Aaron Wiggins          |     9    2   +7   HIGH |     3    3   +0  EXACT |     2    1   +1   HIGH
Ryan Rollins           |    12   19   -7    LOW |     4    3   +1   HIGH |     6    4   +2   HIGH
Noah Penda             |     6    0   +6   HIGH |     3    2   +1   HIGH |     1    1   +0  EXACT
