============================================================
 🎯 AUTOMATED PREDICTION ANALYSIS 🎯
============================================================

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 7.9 | Total: 11.5 | Spread (Margin): 12.1
Moneyline Accuracy: 6/8 (75.0%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Oklahoma City Thunder @ Brooklyn Nets | BKN 99.3 - OKC 123.2 | BKN 92 - OKC 121 | ✅
Utah Jazz @ Minnesota Timberwolves  | MIN 121.9 - UTA 108.5 | MIN 147 - UTA 111 | ✅
Portland Trail Blazers @ Indiana Pacers | IND 109.8 - POR 125.4 | IND 119 - POR 127 | ✅
Denver Nuggets @ Memphis Grizzlies  | MEM 119.0 - DEN 135.9 | MEM 125 - DEN 118 | ❌
Toronto Raptors @ Chicago Bulls     | CHI 114.1 - TOR 124.5 | CHI 109 - TOR 139 | ✅
Los Angeles Clippers @ New Orleans Pelicans | NOP 117.5 - LAC 118.0 | NOP 124 - LAC 109 | ❌
Los Angeles Lakers @ Houston Rockets | HOU 112.8 - LAL 122.2 | HOU 116 - LAL 124 | ✅
Atlanta Hawks @ Dallas Mavericks    | DAL 112.0 - ATL 127.8 | DAL 120 - ATL 135 | ✅

Total Props Evaluated: 12
Wins: 5 | Losses: 7 | Win Rate: 41.7%

============================================================
 🏀 GAME RESULT ACCURACY (TEAM SCORES) 🏀
============================================================
MAE - Team Score: 7.9 | Total: 11.5 | Spread: 12.1
Moneyline Accuracy: 6/8 (75.0%)

MATCHUP                             | PROJECTED            | ACTUAL          | STATUS
----------------------------------------------------------------------------------------
Oklahoma City Thunder @ Brooklyn Nets | BKN 99.3 - OKC 123.2 | BKN 92 - OKC 121 | ✅
Utah Jazz @ Minnesota Timberwolves  | MIN 121.9 - UTA 108.5 | MIN 147 - UTA 111 | ✅
Portland Trail Blazers @ Indiana Pacers | IND 109.8 - POR 125.4 | IND 119 - POR 127 | ✅
Denver Nuggets @ Memphis Grizzlies  | MEM 119.0 - DEN 135.9 | MEM 125 - DEN 118 | ❌
Toronto Raptors @ Chicago Bulls     | CHI 114.1 - TOR 124.5 | CHI 109 - TOR 139 | ✅
Los Angeles Clippers @ New Orleans Pelicans | NOP 117.5 - LAC 118.0 | NOP 124 - LAC 109 | ❌
Los Angeles Lakers @ Houston Rockets | HOU 112.8 - LAL 122.2 | HOU 116 - LAL 124 | ✅
Atlanta Hawks @ Dallas Mavericks    | DAL 112.0 - ATL 127.8 | DAL 120 - ATL 135 | ✅

PLAYER                 | CONF | BET             | ACTUAL   | DIFF    | DIFF %   | STATUS
----------------------------------------------------------------------------------------
Deni Avdija            | 94%  | UNDER 22.5 POI  | 32       | +9.5    | +42.2%   | LOST ❌
Scottie Barnes         | 88%  | UNDER 7.5 REB   | 7        | -0.5    | -6.7%    | WON ✅
Jalen Johnson          | 85%  | UNDER 9.5 REB   | 11       | +1.5    | +15.8%   | LOST ❌
Jakob Poeltl           | 84%  | UNDER 8.5 REB   | 8        | -0.5    | -5.9%    | WON ✅
Deni Avdija            | 82%  | UNDER 5.5 REB   | 11       | +5.5    | +100.0%  | LOST ❌
Scottie Barnes         | 82%  | UNDER 5.5 ASS   | 3        | -2.5    | -45.5%   | WON ✅
Josh Giddey            | 80%  | UNDER 8.5 REB   | 0        | -8.5    | -100.0%  | WON ✅
Zion Williamson        | 80%  | UNDER 5.5 REB   | 4        | -1.5    | -27.3%   | WON ✅
Donovan Clingan        | 77%  | UNDER 11.5 REB  | 13       | +1.5    | +13.0%   | LOST ❌
Christian Braun        | 76%  | UNDER 5.5 REB   | 7        | +1.5    | +27.3%   | LOST ❌
Chet Holmgren          | 75%  | OVER 7.5 REB    | 2        | -5.5    | -73.3%   | LOST ❌
Kevin Durant           | 75%  | UNDER 5.5 REB   | 6        | +0.5    | +9.1%    | LOST ❌

============================================================
 🎯 MEDIAN PROJECTION ACCURACY (Outliers Filtered IQR) 🎯
============================================================

Total Players Evaluated: 137
MAE (Filtered) - PTS: 4.5 | REB: 1.4 | AST: 1.2
Direction Accuracy (Filtered) - PTS: 78/135 (57.8%) | REB: 106/128 (82.8%) | AST: 114/130 (87.7%)

PLAYER                 |  PRED  ACT    D     R |  PRED  ACT    D     R |  PRED  ACT    D     R
                              --- PTS ---             --- REB ---             --- AST ---     
----------------------------------------------------------------------------------------------------
Brice Sensabaugh       |    16   41  -25    LOW |     3    4   -1    LOW |     2    3   -1    LOW
Deni Avdija            |    13   32  -19    LOW |     4   11   -7    LOW |     6    5   +1   HIGH
Jared McCain           |    10   26  -16    LOW |     2    3   -1    LOW |     1    2   -1    LOW
Donovan Clingan        |    13   28  -15    LOW |     9   13   -4    LOW |     3    2   +1   HIGH
Daniel Gafford         |     9   24  -15    LOW |     6    8   -2    LOW |     1    0   +1   HIGH
LeBron James           |    16   30  -14    LOW |     4    5   -1    LOW |     6    2   +4   HIGH
Christian Braun        |    13   26  -13    LOW |     4    7   -3    LOW |     3    5   -2    LOW
Alperen Sengun         |    14   27  -13    LOW |     5    4   +1   HIGH |     5   10   -5    LOW
Naji Marshall          |    16    4  +12   HIGH |     4    3   +1   HIGH |     4    4   +0  EXACT
Immanuel Quickley      |    21   10  +11   HIGH |     3    2   +1   HIGH |     6    7   -1    LOW
Julian Strawther       |    12    2  +10   HIGH |     2    0   +2   HIGH |     1    1   +0  EXACT
Ja'Kobe Walter         |     8   18  -10    LOW |     3    4   -1    LOW |     2    1   +1   HIGH
Amen Thompson          |    16   26  -10    LOW |     6   11   -5    LOW |     5    4   +1   HIGH
Noah Clowney           |    12    3   +9   HIGH |     4    2   +2   HIGH |     1    0   +1   HIGH
Terance Mann           |     9    0   +9   HIGH |     3    5   -2    LOW |     2    1   +1   HIGH
Alex Caruso            |     9    0   +9   HIGH |     4    2   +2   HIGH |     2    1   +1   HIGH
Jakob Poeltl           |     8   17   -9    LOW |     6    8   -2    LOW |     2    2   +0  EXACT
P.J. Washington        |    14   23   -9    LOW |     5    9   -4    LOW |     2    1   +1   HIGH
Aaron Wiggins          |     9   17   -8    LOW |     3    7   -4    LOW |     2    3   -1    LOW
Rudy Gobert            |    13   21   -8    LOW |    12   12   +0  EXACT |     3    0   +3   HIGH
Ayo Dosunmu            |    15   23   -8    LOW |     3    9   -6    LOW |     4    6   -2    LOW
Ivica Zubac            |    10   18   -8    LOW |     9    8   +1   HIGH |     1    3   -2    LOW
Jerami Grant           |    16    8   +8   HIGH |     3    3   +0  EXACT |     2    1   +1   HIGH
Robert Williams III    |    10    2   +8   HIGH |     7   10   -3    LOW |     1    2   -1    LOW
Bruce Brown            |     9    1   +8   HIGH |     3    1   +2   HIGH |     2    2   +0  EXACT
Rob Dillingham         |     7   15   -8    LOW |     3    0   +3   HIGH |     3    4   -1    LOW
Derrick Jones Jr.      |    12    4   +8   HIGH |     4    2   +2   HIGH |     1    3   -2    LOW
Dyson Daniels          |    11   19   -8    LOW |     6    6   +0  EXACT |     5    4   +1   HIGH
Ziaire Williams        |    12    5   +7   HIGH |     2    3   -1    LOW |     1    1   +0  EXACT
Danny Wolf             |    13    6   +7   HIGH |     6    4   +2   HIGH |     3    2   +1   HIGH
Jalen Wilson           |     8   15   -7    LOW |     3    5   -2    LOW |     0    0   +0  EXACT
Tre Jones              |    13    6   +7   HIGH |     2    2   +0  EXACT |     4    5   -1    LOW
Sandro Mamukelashvili  |    10   17   -7    LOW |     4    4   +0  EXACT |     2    5   -3    LOW
Saddiq Bey             |    18   25   -7    LOW |     5    5   +0  EXACT |     2    4   -2    LOW
Derik Queen            |     7   14   -7    LOW |     5    2   +3   HIGH |     2    2   +0  EXACT
Darius Garland         |    20   13   +7   HIGH |     3    1   +2   HIGH |     6    6   +0  EXACT
Austin Reaves          |    21   14   +7   HIGH |     4    3   +1   HIGH |     5    8   -3    LOW
Deandre Ayton          |     9   16   -7    LOW |     7    4   +3   HIGH |     1    2   -1    LOW
Marvin Bagley III      |     9    2   +7   HIGH |     6    7   -1    LOW |     1    0   +1   HIGH
Nic Claxton            |    10    4   +6   HIGH |     6    6   +0  EXACT |     3    1   +2   HIGH
Jaylin Williams        |    12    6   +6   HIGH |     7    7   +0  EXACT |     3    2   +1   HIGH
Bones Hyland           |    12   18   -6    LOW |     2    3   -1    LOW |     4    2   +2   HIGH
Kyle Filipowski        |    13    7   +6   HIGH |     8    3   +5   HIGH |     3    4   -1    LOW
Scoot Henderson        |    15    9   +6   HIGH |     2    3   -1    LOW |     4    5   -1    LOW
