date,matchup,projected,actual,bias
2026-03-01,DEN vs MIN,255.1,225,-30.099999999999994
2026-03-01,CHI vs MIL,218.3,217,-1.3000000000000114
2026-03-01,BOS vs PHI,212.2,212,-0.19999999999998863
2026-03-01,ATL vs POR,238.5,236,-2.5
2026-03-01,ORL vs DET,229.2,198,-31.19999999999999
2026-03-01,LAL vs SAC,226.2,232,5.800000000000011
2026-03-02,UTA vs DEN,245.6,253,7.400000000000006
2026-03-02,WAS vs HOU,224.3,241,16.69999999999999
2026-03-02,MIL vs BOS,209.7,189,-20.69999999999999
2026-03-02,GSW vs LAC,229.4,215,-14.400000000000006
2026-03-03,MIN vs MEM,256.4,227,-29.399999999999977
2026-03-03,MIA vs BKN,233.3,222,-11.300000000000011
2026-03-03,LAL vs NOP,247.7,211,-36.69999999999999
2026-03-03,ORL vs WAS,245.3,235,-10.300000000000011
2026-03-03,CHA vs DAL,240.10000000000002,207,-33.10000000000002
2026-03-03,TOR vs NYK,250.5,206,-44.5
2026-03-03,CHI vs OKC,246.3,224,-22.30000000000001
2026-03-03,CLE vs DET,248.2,222,-26.19999999999999
2026-03-03,PHI vs SAS,248.60000000000002,222,-26.600000000000023
2026-03-03,SAC vs PHX,253.6,217,-36.599999999999994
2026-03-04,MEM vs POR,254.1,236,-18.099999999999994
2026-03-04,LAC vs IND,249.2,237,-12.199999999999989
2026-03-04,NYK vs OKC,231.0,203,-28.0
2026-03-04,PHI vs UTA,233.5,208,-25.5
2026-03-04,MIL vs ATL,240.4,244,3.5999999999999943
2026-03-04,BOS vs CHA,225.1,207,-18.099999999999994
2026-03-05,SAS vs DET,233.2,227,-6.199999999999989
2026-03-05,DEN vs LAL,248.60000000000002,233,-15.600000000000023
2026-03-05,MIA vs BKN,236.60000000000002,236,-0.6000000000000227
2026-03-07,ATL vs PHI,230.3,241,10.699999999999989
2026-03-07,DET vs BKN,229.0,212,-17.0
2026-03-07,MIL vs UTA,220.8,212,-8.800000000000011
2026-03-07,MIN vs ORL,242.3,211,-31.30000000000001
2026-03-07,OKC vs GSW,216.0,201,-15.0
2026-03-07,MEM vs LAC,239.0,243,4.0
2026-03-08,LAL vs NYK,236.2,207,-29.19999999999999
2026-03-08,SAS vs HOU,241.3,265,23.69999999999999
2026-03-08,SAC vs CHI,216.6,236,19.400000000000006
2026-03-08,CLE vs BOS,214.5,207,-7.5
2026-03-08,MIA vs DET,223.2,231,7.800000000000011
2026-03-08,MIL vs ORL,222.10000000000002,221,-1.1000000000000227
2026-03-08,TOR vs DAL,237.5,214,-23.5
2026-03-08,PHX vs CHA,194.4,210,15.599999999999994
2026-03-08,NOP vs WAS,246.9,256,9.099999999999994
2026-03-08,POR vs IND,244.4,116,-128.4
2026-03-10,GSW vs CHI,206.7,254,47.30000000000001
2026-03-10,LAL vs MIN,240.9,226,-14.900000000000006
2026-03-10,SAS vs BOS,228.0,241,13.0
2026-03-10,MIL vs PHX,211.5,243,31.5
2026-03-10,HOU vs TOR,226.8,212,-14.800000000000011
2026-03-10,MIA vs WAS,210.2,279,68.80000000000001
2026-03-10,PHI vs MEM,233.4,268,34.599999999999994
2026-03-10,ATL vs DAL,243.7,236,-7.699999999999989
2026-03-10,POR vs CHA,233.3,204,-29.30000000000001
2026-03-10,BKN vs DET,230.10000000000002,238,7.899999999999977
2026-03-10,SAC vs IND,218.4,223,4.599999999999994
2026-03-11,SAC vs CHA,212.7,226,13.300000000000011
2026-03-11,ORL vs CLE,235.9,250,14.099999999999994
2026-03-11,UTA vs NYK,237.2,251,13.800000000000011
2026-03-11,NOP vs TOR,243.9,233,-10.900000000000006
2026-03-11,LAC vs MIN,241.3,281,39.69999999999999
2026-03-11,DEN vs HOU,251.7,222,-29.69999999999999
2026-03-12,IND vs PHX,217.3,231,13.699999999999989
2026-03-12,LAL vs CHI,237.9,272,34.099999999999994
2026-03-12,MEM vs DAL,241.4,232,-9.400000000000006
2026-03-12,DET vs PHI,208.8,240,31.19999999999999
2026-03-12,MIA vs MIL,233.8,217,-16.80000000000001
2026-03-12,OKC vs BOS,217.10000000000002,206,-11.100000000000023
2026-03-12,ATL vs BKN,226.79999999999998,205,-21.799999999999983
2026-03-12,ORL vs WAS,232.8,267,34.19999999999999
2026-03-12,SAS vs DEN,263.9,267,3.1000000000000227
2026-03-13,LAC vs CHI,236.0,227,-9.0
2026-03-13,DAL vs CLE,230.1,243,12.900000000000006
2026-03-13,TOR vs PHX,216.6,237,20.400000000000006
2026-03-13,DET vs MEM,230.5,236,5.5
2026-03-13,GSW vs MIN,235.7,244,8.300000000000011
2026-03-13,HOU vs NOP,238.5,212,-26.5
2026-03-13,IND vs NYK,241.7,193,-48.69999999999999
2026-03-13,POR vs UTA,233.4,238,4.599999999999994
